phylum	class	order	family	species
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion bolivari
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion brannani
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion castilianum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion castilianum var. ardoisi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion circumcinctum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion coelloi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion ferdinandi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion fuentei
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion fuliginator
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion fuliginator ssp. andianum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion ghilianii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion graellsii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion grisescens
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion grustani
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion heydenii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion hispanicum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion isernii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion korbi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion lainzgalloi
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion lorquinii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion lusitanicum
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion marinae
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion marmottani
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion martinezii
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion molitor
Arthropoda	Insecta	Coleoptera	Cerambycidae	Iberodorcadion mosqueruelense
